"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"1","helene","X","X","X","","","","","","","","X","","","","","","","","","","","","","","","","X","","X"
"2","leonore","X","","","X","","","","","","","","","","","","","","","","","","","","","","X","X","","X"
"3","henrik","","","X","X","X","X","X","X","","","","","X","","","","","X","X","","","","","","","","","X","X"
"4","petronius","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","X"
"5","pernille","","","","","","","X","X","","","","","X","","","","","X","X","","","","","","","","","",""
"6","lucretia","","","","","","","","X","","","","","X","X","X","X","","X","X","","","","","X","","","","","X"
"7","eraste","","","","","","","","","X","","","","","X","","","","","","X","X","","X","","","","X","","X"
"8","apicius","","","","","","","","","","X","X","X","","","","X","X","","","","","X","","","X","X","X","","X"
"9","espen","","","","","","","","","","","","X","","","","","","","","","","","","","X","X","X","X","X"
"10","lakajen","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"11","christopher","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","X","","X"
"12","apicius (","","","","","","","","","","","","","","","","","","","","","","X","","","","","","",""
"13","musikant","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"14","2. musikant","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"15","drengen","","","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
