"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"1","jeronimus","X","","X","X","","","","","","","","X","","","","X","X","X","","","","","","X","X","X","","","","","","X"
"2","frands","X","X","X","X","X","X","","","","","","","","","","X","X","X","","","","","","","","","","","","","","X"
"3","arv","","X","","","","","","","","X","","","","","","","","","","","X","","","","","","","X","X","","",""
"4","jean","","","X","","","X","","","","","","","X","X","X","X","","","","X","X","X","X","X","","","X","X","X","X","",""
"5","magdelone","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","antonius","","","","","","","X","","X","X","X","","","","","","","","X","","","","","","X","","","","","","",""
"7","elsebet","","","","","","","X","","X","","X","X","","","","","","","X","","","","","","","X","","","","","",""
"8","marthe","","","","","","","X","X","X","","","","","","","","","","X","","","","","","","","","","","","X",""
"9","espen","","","","","","","","X","X","","","","","X","","","","","","X","","X","","","","","","","","X","X",""
"10","pierre","","","","","","","","","","","","","X","X","X","X","X","","","","","","X","X","","","X","X","X","X","",""
"11","madame la fleche","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","",""
"12","spilleren","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","",""
"13","drengen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
