"","speaker","plays","count_speaker","count_plays"
"269","peer","Den vægelsindede Komedie, Jacob von Tyboe eller Den stortalende soldat Komedie",106,2
"270","peiter","Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie",11,2
"271","penelope","Ulysses von Ithacia eller En tysk komedie",9,1
"272","penia","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",22,1
"273","per","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Julestue Komedie",75,2
"274","pernille","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den honnette ambition Komedie i 3 akter, Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Den vægelsindede Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Uden hoved og hale Komedie",3634,17
"275","pernillegrædende)","Det lykkelige skibbrud Komedie i 5 akter",1,1
"276","petronius","Den vægelsindede Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Philosophus i egen indbildning Komedie i 5 akter",267,3
"277","philemon","Det lykkelige skibbrud Komedie i 5 akter",54,1
"278","philocyne","Melampe Tragikomedie",24,1
"279","pierre","Jean de France eller Hans Frandsen Komedie",76,1
"280","pigen","Barselsstuen Komedie, Den 11. juni, Den politiske kandestøber Komedie, Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Melampe Tragikomedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",193,7
"281","plutus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",82,1
"282","poeten","Barselsstuen Komedie",13,1
"283","poeterne","Det arabiske pulver Komedie",11,1
"284","polidorus","Det arabiske pulver Komedie, Melampe Tragikomedie",126,2
"285","polyphemus","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",8,1
"286","postkarlen","Den pantsatte bondedreng Komedie i 3 akter",3,1
"287","præsten","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"288","proprietær","Den 11. juni",8,1
"289","rasmus","Ulysses von Ithacia eller En tysk komedie",23,1
"290","republikken","Republikken eller Det gemene bedste Komedie i 3 akter",85,1
"291","richart børstenbinder","Den politiske kandestøber Komedie",4,1
"292","ridefogeden","Jeppe på Bjerget eller Den forvandlede bonde",12,1
"293","roland","Uden hoved og hale Komedie",86,1
"294","rosiflengius","Det lykkelige skibbrud Komedie i 5 akter",110,1
"295","rosimunda","Ulysses von Ithacia eller En tysk komedie",10,1
"296","sanderus","Den politiske kandestøber Komedie",13,1
"297","schumacher","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",15,1
"298","sekretæren","Jeppe på Bjerget eller Den forvandlede bonde",9,1
"299","semira","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",41,1
"300","sganarel","Melampe Tragikomedie, Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter, Uden hoved og hale Komedie",338,4
"301","sganarel og dorothea","Melampe Tragikomedie",2,1
"302","sganarelsagte)","Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",2,1
"303","sivert posekigger","Den politiske kandestøber Komedie",7,1
"304","skærsliberen","Det lykkelige skibbrud Komedie i 5 akter",4,1
"305","skøgen","Det lykkelige skibbrud Komedie i 5 akter",16,1
"306","skolemesteren","Det lykkelige skibbrud Komedie i 5 akter, Julestue Komedie, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",43,3
"307","skrædderen","Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter",4,2
"308","skriveren","Det lykkelige skibbrud Komedie i 5 akter, Hekseri eller blind alarm Komedie i 5 akter, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",94,4
"309","skyldenborg","Den 11. juni",72,1
"310","soldaten","Diderich Menschenskræk Komedie i 1 akt",17,1
"311","sparenborg","Den vægelsindede Komedie",70,1
"312","spilleren","Jean de France eller Hans Frandsen Komedie",17,1
"313","stine","Barselsstuen Komedie",9,1
"314","studenstrup","Den 11. juni",215,1
"315","svenden","Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",8,1
"316","svinene","Ulysses von Ithacia eller En tysk komedie",5,1
"317","terentia","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den vægelsindede Komedie, Hekseri eller blind alarm Komedie i 5 akter",127,3
"318","thalia","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"319","theophilus","Mester Gert Westphaler eller Den meget talende barber Komedie",4,1
"320","timotheus","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",28,1
"321","tiresius","Ulysses von Ithacia eller En tysk komedie",6,1
"322","tjeneren","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",2,1
"323","to drenge","Hekseri eller blind alarm Komedie i 5 akter",2,1
"324","to lakajer","Den politiske kandestøber Komedie",1,1
"325","to mænd","Den 11. juni",2,1
"326","to soldater med en tambur","Barselsstuen Komedie",2,1
"327","tobias prokurator","Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",80,2
"328","torben","Den vægelsindede Komedie",73,1
"329","trækholdt","Den 11. juni",13,1
"330","troels","Barselsstuen Komedie",128,1
"331","trojaneren","Ulysses von Ithacia eller En tysk komedie",25,1
"332","tutti","Den politiske kandestøber Komedie, Den stundesløse Komedie i 3 akter, Julestue Komedie, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter",14,4
"333","tvende mænd","Mester Gert Westphaler eller Den meget talende barber Komedie",5,1
"334","tyboe","Jacob von Tyboe eller Den stortalende soldat Komedie",143,1
"335","tychonius","Jacob von Tyboe eller Den stortalende soldat Komedie",72,1
"336","tyven","Hekseri eller blind alarm Komedie i 5 akter",2,1
"337","udtolkeren","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter",28,1
"338","ulysses","Ulysses von Ithacia eller En tysk komedie",134,1
"339","vægter","Den 11. juni",5,1
"340","vægterne","Den 11. juni, Julestue Komedie",4,2
"341","værten","Den pantsatte bondedreng Komedie i 3 akter, Den politiske kandestøber Komedie, Det arabiske pulver Komedie, Hekseri eller blind alarm Komedie i 5 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",336,7
"342","venus","Ulysses von Ithacia eller En tysk komedie",4,1
"343","vielgeschrey","Den stundesløse Komedie i 3 akter",315,1
"344","von qvoten","Hekseri eller blind alarm Komedie i 5 akter",8,1
"345","vulcanus","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",5,2
