"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44"
"1","troels","X","X","X","","","X","X","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","X","X","X","X","X","X","X","X","X"
"2","claus","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","corfitz","","","X","X","X","X","X","X","","","","","X","","","","","X","","","X","","","","","","","","","X","X","X","","X","X","X","","X","X","X","X","","X","X"
"4","jeronimus","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X"
"5","en pige","","","","","","","X","X","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","X","","","",""
"6","barselskvinden","","","","","","","","X","X","X","X","X","X","X","X","X","X","X","X","","X","","X","X","X","X","X","X","","","","","","","","","","","","","","","",""
"7","ammen","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1. dame","","","","","","","","","X","X","","","","","","","","","","","","X","","","","X","","","","","","","","","","","","","","","","","",""
"9","2. dame","","","","","","","","","X","X","","","","","","","","","","","","X","","","","X","","","","","","","","","","","","","","","","","",""
"10","anne kandestøbers","","","","","","","","","","X","X","X","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"11","ingeborg","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","arianke","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","else","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","øllegård","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","dorthe","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","stine","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","abelone","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","christine","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","geske","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","karen","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"21","ellen","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","",""
"22","fruen","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"23","christopher","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","",""
"24","mester bonifacius","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","",""
"25","doktoren","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","","","",""
"26","konen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","",""
"27","en officer med knebelsbarter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","",""
"28","officeren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","","X",""
"29","2. officer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","","","","","",""
"30","kællingen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"31","1. officer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","X","","","","","","","","","",""
"32","to soldater med en tambur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","","",""
"33","2. mand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"34","1. mand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","","","","","",""
"35","gothard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","X","","","","","","",""
"36","chiromanticus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","","",""
"37","gunild","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","","",""
"38","poeten","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","","",""
"39","1. advokat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"40","2. advokat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X","",""
