"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1","harlekin","X","X","X","X","","X","X","","","","X","X","X","X","X","X","X"
"2","leander","X","X","","","","","","X","X","X","","","X","X","","",""
"3","den usynlige","","X","","","","X","","","X","","X","X","","X","X","X","X"
"4","colombine","","","","X","X","","","","","","","","","","","","X"
"5","magdelone","","","","","X","","","","","","","","","","","",""
"6","den usynliges broder","","","","","","","","","","","","","","","","X","X"
