"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"1","pernille","X","X","","X","X","X","X","X","X","X","","","","","X","","","X","","","","X","","X","X","X","X","","X","","X","","X","","X",""
"2","leonora","X","X","","X","X","","X","X","X","X","","","","","","","","","","","","","","","","","","","","","","X","","","X",""
"3","petronius","","X","X","X","X","X","X","","","","X","X","X","X","","X","X","","","","X","","","","","X","","","","","","","","X","X","X"
"4","cosmoligoreus","","","X","X","","","","","","","X","X","X","X","","","","","X","X","X","","","","X","X","X","","X","X","X","X","","","X","X"
"5","leander","","","","","","","","","","X","","X","","","","","","","","","","X","X","X","","","","X","","","","","X","","",""
"6","jeronimus","","","","","","","","","","","","","","","X","","X","X","X","","","X","X","X","","","","X","","","","","X","","X",""
