"","speaker","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"1","pernille","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","X","X","X","X"
"2","magdelone","","X","X","","","","","","","","X","","","","","","","","X","","","","","","","X"
"3","leonora","","","X","","","","X","X","X","X","","","","X","","","","","","","","","X","","","X"
"4","vielgeschrey","","","","X","X","X","X","","","","","X","X","X","X","","X","","X","X","X","X","X","X","X","X"
"5","lars","","","","X","","","","","","","","","X","","","","","","","","","","","","",""
"6","christoffer","","","","X","","","","","","","","X","","","","","","","","","","","","","",""
"7","jens griffel","","","","X","","","","","","","","","","","","","","","","","","","","","",""
"8","karlene","","","","X","","","","","","","","","","","","","","","","","","","","","",""
"9","leander","","","","","X","X","","","X","","","","X","X","","","","","","","","","","X","","X"
"10","tutti","","","","","X","X","","","","","","X","","","","","","","","","","","","","",""
"11","barberen","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"12","bonden","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"13","skrædderen","","","","","","X","","","","","","","","","","","","","","","","","","","",""
"14","oldfux","","","","","","","","","X","","","","X","X","","X","","","","X","X","","","","","X"
"15","anne","","","","","","","","","","","","X","","","","","","","","","","","","","",""
"16","leander og oldfux","","","","","","","","","","","","","","X","","","","","","","","","","","",""
"17","bogholderen","","","","","","","","","","","","","","","","","","X","X","","","","","","",""
"18","advokaten","","","","","","","","","","","","","","","","","","","","X","","","","","",""
"19","leonard","","","","","","","","","","","","","","","","","","","","","","X","X","","","X"
"20","corfitz","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"21","notarius","","","","","","","","","","","","","","","","","","","","","","","","X","",""
"22","erich madsen","","","","","","","","","","","","","","","","","","","","","","","","","X","X"
"23","peder","","","","","","","","","","","","","","","","","","","","","","","","","","X"
